#{"t_start": 1587284673.0129704, "env_id": "DronePathComplex-v0"}
r,l,t
20,680,11.421824
34,691,20.936891
27,448,27.400901
21,590,34.857816
51,963,46.967671
74,1298,62.660382
42,612,69.274252
33,1501,100.015474
1000,10099,258.068779
1000,7637,400.212742
1000,7432,600.868132
1000,6760,731.508233
1000,6820,848.206693
1000,7065,974.52309
1000,7131,1088.240844
557,4345,1169.673685
995,6269,1265.508841
1000,6819,1397.745572
1000,7255,1525.510033
1000,6897,1654.741143
342,2153,1678.554999
1000,8291,1857.3647
800,5762,1967.069129
978,7814,2101.020332
29,219,2103.059382
69,463,2108.413399
511,3735,2182.208719
29,184,2185.01014
198,1026,2196.491103
266,1766,2215.495218
1000,7198,2334.205175
361,2521,2392.084142
487,3082,2426.783144
179,1579,2444.557019
263,1537,2498.185219
793,6643,2589.376225
638,3795,2632.704856
47,256,2635.180238
159,1312,2670.098067
263,1714,2689.162727
197,1254,2704.053957
55,397,2707.768987
279,1807,2728.793473
537,3615,2782.709662
449,2560,2811.257344
59,375,2815.747674
348,2853,2863.098872
427,3148,2899.114123
439,2969,2942.703056
374,2631,2973.027581
559,4405,3033.049987
171,891,3043.523925
219,1567,3061.624451
237,1996,3096.450868
235,1508,3113.953422
71,419,3117.917453
718,5300,3189.573852
150,1162,3202.548535
349,1813,3223.93613
456,3788,3287.490973
26,185,3289.26093
255,2406,3316.69366
479,3791,3375.250036
170,1332,3391.335653
100,906,3402.107484
670,5218,3468.102715
345,2517,3515.101358
23,208,3517.124026
359,2167,3540.843074
72,524,3548.281724
258,1493,3564.694821
255,1783,3593.16492
28,197,3594.995125
20,196,3598.030667
23,190,3599.963533
192,1676,3618.006422
281,1968,3641.331885
54,376,3646.267651
154,1027,3658.929531
1000,5891,3740.277253
24,174,3743.249329
47,379,3765.870995
226,1786,3787.012209
92,627,3794.076841
192,1392,3810.276126
58,360,3814.923146
230,1033,3826.905757
24,198,3828.817912
102,1044,3857.694314
130,822,3867.240213
68,432,3872.660878
133,1091,3885.779954
67,391,3889.526812
171,1539,3907.363797
28,194,3910.423699
23,180,3912.007206
107,838,3922.064854
59,319,3925.142098
26,200,3938.213547
22,202,3940.327182
143,1545,3958.676941
143,1935,3981.84866
20,207,3983.920109
100,725,3993.32336
132,805,4002.25562
474,4523,4065.839119
107,834,4076.650488
23,206,4078.830739
173,987,4091.190707
21,217,4094.506926
144,1024,4120.624723
344,3195,4158.970455
155,1548,4177.532713
81,897,4192.831525
22,185,4194.631392
23,208,4196.794937
54,465,4202.815642
119,1175,4217.554186
61,359,4220.971008
218,2209,4248.553768
113,1364,4263.743063
134,1581,4296.468753
48,294,4300.501702
49,366,4305.478393
73,960,4316.650717
27,200,4318.512537
104,536,4324.611268
57,616,4331.855089
24,199,4334.874593
85,662,4342.174609
223,2226,4375.168736
123,1322,4391.009237
126,877,4400.262963
117,760,4409.706143
47,346,4414.152076
132,1061,4426.598894
427,2455,4465.74527
246,1797,4485.932009
202,1610,4504.513364
97,557,4510.937858
169,1329,4531.772569
238,2424,4560.365656
22,229,4562.663608
232,2279,4588.806304
137,1257,4617.044103
121,1084,4629.573602
74,588,4636.257329
281,2810,4669.040492
268,3174,4721.37239
226,1311,4735.599719
48,615,4743.699575
25,201,4745.545929
146,1349,4761.6408
137,1795,4799.901018
154,1224,4814.674211
187,1387,4829.627703
23,194,4832.682795
204,1572,4850.694987
26,188,4852.520198
24,200,4854.505742
973,8879,4973.631446
24,178,4975.356754
45,520,4981.315979
659,6800,5077.841461
126,801,5087.842097
27,169,5089.501019
41,368,5093.855749
726,5701,5177.443881
24,171,5180.218569
270,2178,5222.233547
71,838,5230.830888
32,422,5236.173551
343,3320,5275.449902
149,1165,5296.96049
233,2179,5321.763284
23,186,5324.646147
133,1146,5337.630211
571,4880,5398.50984
289,1845,5420.493813
205,2492,5456.098598
21,182,5457.804071
89,638,5466.144501
32,201,5468.028681
30,415,5473.031365
24,169,5474.69059
218,1497,5491.669956
146,1500,5509.322734
28,177,5510.999915
62,1005,5522.576379
75,926,5564.049836
751,6428,5668.715272
83,1308,5683.050706
114,1355,5699.016574
265,1812,5719.27188
243,3185,5770.551475
91,1214,5784.597053
71,1198,5797.978513
82,763,5807.356905
269,2975,5855.653116
208,1853,5876.540476
113,960,5887.297519
559,4982,5963.624794
23,217,5965.735408
150,1017,5977.195568
108,729,5985.999175
23,188,5987.787831
69,489,6002.354439
187,1989,6024.984378
29,164,6026.501704
597,5552,6107.179291
228,1492,6124.176501
327,2569,6153.119587
443,3395,6200.883188
425,3358,6237.949601
646,4953,6298.509144
25,174,6300.234934
361,3052,6358.918923
80,635,6365.670648
991,7775,6458.881508
23,182,6461.635886
26,202,6463.547916
39,339,6467.812223
172,1490,6493.495209
280,1845,6514.036242
342,2391,6541.752568
211,1431,6558.157052
23,165,6559.725893
488,3531,6619.718592
26,176,6621.263761
55,402,6626.103126
692,4639,6700.715293
28,243,6703.936345
22,169,6705.510623
503,3686,6746.598187
28,190,6778.391844
712,5599,6841.749724
25,167,6843.470323
69,446,6854.174121
24,164,6855.815328
116,781,6865.163431
209,992,6876.202378
220,1597,6893.99692
170,1366,6908.943781
307,2008,6943.340178
123,701,6953.972125
60,426,6959.146257
26,172,6962.876123
165,1391,6979.100806
24,165,6980.675128
56,502,6986.613339
108,854,6996.810825
23,183,6998.564238
27,163,7000.161313
47,263,7003.765542
154,1397,7023.270306
89,685,7031.719649
734,6078,7111.675633
26,233,7113.765259
26,176,7115.408096
244,1945,7142.402147
27,172,7145.183419
876,7158,7235.585014
37,347,7239.87075
947,6992,7330.076096
41,300,7332.948161
91,772,7356.345844
1000,7767,7461.58254
57,433,7466.983819
28,193,7468.967467
22,185,7472.116793
647,4917,7554.239704
1000,9243,7670.798431
148,726,7683.124909
26,189,7684.884446
191,1374,7705.795208
682,5640,7769.996007
116,889,7786.543036
110,1079,7801.725214
311,2237,7826.969368
26,181,7828.602816
28,203,7831.778387
485,4308,7885.665309
23,189,7888.664403
24,187,7890.402195
114,631,7897.343931
25,173,7900.115079
187,1063,7912.236559
450,3921,7968.840546
83,862,7979.039255
27,187,7980.862936
108,827,7991.033463
193,1685,8010.026837
72,556,8019.342845
867,8518,8127.553177
58,568,8133.907908
271,2573,8162.745646
29,180,8164.487367
102,1433,8185.953933
605,5840,8269.553503
457,2971,8302.162225
21,288,8305.76575
62,358,8310.056601
90,939,8320.713786
1000,8376,8445.473249
756,7577,8554.84616
1000,8288,8675.143173
59,379,8679.750247
714,7212,8767.442953
321,2781,8816.077361
103,1561,8834.519412
27,222,8837.675493
94,580,8844.134894
215,3645,8894.975616
427,2850,8926.532839
134,988,8937.766461
85,744,8964.805659
203,1662,8983.084823
1000,11791,9133.85056
324,3517,9177.339003
325,2766,9217.537722
1000,11835,9376.38578
325,3953,9420.912408
126,2427,9464.810708
157,2099,9488.618336
1000,13001,9676.294475
997,14641,9890.492611
69,445,9897.908875
259,4446,9958.927073
1000,14835,10179.46817
150,2273,10204.674556
1000,14223,10399.110136
53,421,10404.017781
166,1856,10437.957625
1000,14313,10660.437037
1000,14890,10868.990981
669,10514,11022.534
1000,14571,11220.768878
301,7072,11322.998426
1000,15474,11555.163997
1000,16820,11824.838995
1000,17628,12139.416977
1000,17536,12464.310697
1000,16533,12746.30646
1000,19990,13058.86807
1000,19145,13374.878909
53,3590,13471.098228
921,20000,13796.887159
1000,19196,14153.360503
1000,19473,14537.855354
20,2021,14560.348201
93,3748,14664.18125
907,20000,15045.574002
1000,19145,15458.140036
38,2980,15566.8697
980,20000,16024.224746
1000,19422,16444.29448
162,6630,16594.144706
885,20000,17072.347715
1000,19626,17594.536955
