#{"t_start": 1587229207.4149356, "env_id": "DronePathComplexFB-v0"}
r,l,t
300,5259,64.530363
300,4567,139.519382
223,4318,211.133946
300,4885,286.377463
300,4030,331.051633
300,4640,403.789507
300,4702,481.244586
300,6161,578.445854
21,2022,600.976533
300,16517,889.734509
300,9783,1021.886823
300,4492,1089.753842
300,4105,1153.515848
22,2023,1180.250241
300,6616,1279.512964
280,8822,1411.23059
24,2025,1461.371729
21,2118,1486.757416
300,7129,1586.594009
300,4425,1653.4345
300,3012,1688.180449
300,4173,1775.115332
300,3999,1845.900903
288,2278,1870.767201
300,3856,1932.728788
300,4639,1984.333534
230,1484,2046.026968
58,328,2050.109664
256,2887,2082.806693
88,509,2088.587282
300,2701,2136.008045
174,769,2145.221151
300,4556,2233.489452
300,6344,2329.267121
70,601,2335.935304
61,310,2339.905598
211,1409,2354.832911
300,4052,2443.11921
270,2958,2476.328605
300,3205,2563.519991
300,3393,2606.482238
297,2948,2673.196974
300,3931,2720.433363
300,4353,2801.209568
300,3780,2842.635015
300,5610,2969.574431
260,2120,3022.425671
300,5929,3120.049284
300,7929,3223.744465
166,2156,3252.710224
211,3230,3340.263029
300,4113,3388.336296
300,6502,3478.350388
171,1613,3511.3211
228,3477,3555.251332
300,3833,3605.169157
300,2939,3639.398989
60,303,3642.949121
300,2904,3697.509362
300,4449,3760.055396
300,5590,3843.698439
300,2066,3867.749684
300,4361,3923.372692
300,2471,3954.474333
167,3584,4039.758772
287,2537,4068.485484
300,3808,4147.174768
300,6654,4279.629376
99,429,4284.679697
300,2901,4317.628718
108,2616,4381.458694
100,791,4390.787473
300,2837,4421.923537
73,356,4427.895533
111,713,4438.061185
95,607,4444.763389
140,1337,4480.527992
161,2471,4508.09666
300,2382,4538.727805
300,4178,4606.283016
300,5170,4682.648784
